Size(A)  Probability_real    Probability_expected
17.4125  0  1.99553e-14
17.4375  0  1.93159e-14
17.4625  0  1.86976e-14
17.4875  0  1.80996e-14
17.5125  0  1.75213e-14
17.5375  0  1.69619e-14
17.5625  0  1.64209e-14
17.5875  0  1.58976e-14
17.6125  0  1.53915e-14
17.6375  0  1.49019e-14
17.6625  0  1.44283e-14
17.6875  0  1.39701e-14
17.7125  0  1.35269e-14
17.7375  0  1.30982e-14
17.7625  0  1.26834e-14
17.7875  0  1.22821e-14
17.8125  0  1.18938e-14
17.8375  0  1.15182e-14
17.8625  0  1.11547e-14
17.8875  0  1.0803e-14
17.9125  0  1.04627e-14
17.9375  0  1.01334e-14
17.9625  0  9.81481e-15
17.9875  0  9.50646e-15
18.0125  0  9.20806e-15
18.0375  0  8.91929e-15
18.0625  0  8.63982e-15
18.0875  0  8.36934e-15
18.1125  0  8.10756e-15
18.1375  0  7.85418e-15
18.1625  0  7.60895e-15
18.1875  0  7.37157e-15
18.2125  0  7.14181e-15
18.2375  0  6.9194e-15
18.2625  0  6.7041e-15
18.2875  0  6.49568e-15
18.3125  0  6.29392e-15
18.3375  0  6.0986e-15
18.3625  0  5.9095e-15
18.3875  0  5.72642e-15
18.4125  0  5.54917e-15
18.4375  0  5.37755e-15
18.4625  0  5.21139e-15
18.4875  0  5.0505e-15
18.5125  0  4.89471e-15
18.5375  0  4.74385e-15
18.5625  0  4.59777e-15
18.5875  0  4.45631e-15
18.6125  0  4.31932e-15
18.6375  0  4.18666e-15
18.6625  0  4.05818e-15
18.6875  0  3.93375e-15
18.7125  0  3.81324e-15
18.7375  0  3.69651e-15
18.7625  0  3.58346e-15
18.7875  0  3.47396e-15
18.8125  0  3.3679e-15
18.8375  0  3.26516e-15
18.8625  0  3.16564e-15
18.8875  0  3.06924e-15
18.9125  0  2.97585e-15
18.9375  0  2.88538e-15
18.9625  0  2.79773e-15
18.9875  0  2.71282e-15
19.0125  0  2.63055e-15
19.0375  0  2.55085e-15
19.0625  0  2.47362e-15
19.0875  0  2.3988e-15
19.1125  0  2.3263e-15
19.1375  0  2.25605e-15
19.1625  0  2.18798e-15
19.1875  0  2.12202e-15
19.2125  0  2.0581e-15
19.2375  0  1.99616e-15
19.2625  0  1.93613e-15
19.2875  0  1.87796e-15
19.3125  0  1.82158e-15
19.3375  0  1.76694e-15
19.3625  0  1.71398e-15
19.3875  0  1.66265e-15
19.4125  0  1.61291e-15
19.4375  0  1.56468e-15
19.4625  0  1.51794e-15
19.4875  0  1.47264e-15
19.5125  0  1.42872e-15
19.5375  0  1.38615e-15
19.5625  0  1.34488e-15
19.5875  0  1.30487e-15
19.6125  0  1.26608e-15
19.6375  0  1.22848e-15
19.6625  0  1.19202e-15
19.6875  0  1.15668e-15
19.7125  0  1.12241e-15
19.7375  0  1.08918e-15
19.7625  0  1.05697e-15
19.7875  0  1.02573e-15
19.8125  0  9.95437e-16
19.8375  0  9.66066e-16
19.8625  0  9.37584e-16
19.8875  0  9.09964e-16
19.9125  0  8.8318e-16
19.9375  0  8.57206e-16
19.9625  0  8.32015e-16
19.9875  0  8.07585e-16
20.0125  0  7.83892e-16
20.0375  0  7.60912e-16
20.0625  0  7.38624e-16
20.0875  0  7.17006e-16
20.1125  0  6.96037e-16
20.1375  0  6.75699e-16
20.1625  0  6.5597e-16
20.1875  0  6.36833e-16
20.2125  0  6.18269e-16
20.2375  0  6.00261e-16
20.2625  0  5.82791e-16
20.2875  0  5.65844e-16
20.3125  0  5.49402e-16
20.3375  0  5.33451e-16
20.3625  0  5.17975e-16
20.3875  0  5.0296e-16
20.4125  0  4.88392e-16
20.4375  0  4.74258e-16
20.4625  0  4.60543e-16
20.4875  0  4.47235e-16
20.5125  0  4.34322e-16
20.5375  0  4.21792e-16
20.5625  0  4.09634e-16
20.5875  0  3.97835e-16
20.6125  0  3.86384e-16
20.6375  0  3.75273e-16
20.6625  0  3.64489e-16
20.6875  0  3.54023e-16
20.7125  0  3.43866e-16
20.7375  0  3.34008e-16
20.7625  0  3.24441e-16
20.7875  0  3.15154e-16
20.8125  0  3.06141e-16
20.8375  0  2.97392e-16
20.8625  0  2.88899e-16
20.8875  0  2.80656e-16
20.9125  0  2.72654e-16
20.9375  0  2.64887e-16
20.9625  0  2.57346e-16
20.9875  0  2.50026e-16
21.0125  0  2.4292e-16
21.0375  0  2.36021e-16
21.0625  0  2.29323e-16
21.0875  0  2.2282e-16
21.1125  0  2.16507e-16
21.1375  0  2.10377e-16
21.1625  0  2.04426e-16
21.1875  0  1.98647e-16
21.2125  0  1.93036e-16
21.2375  0  1.87587e-16
21.2625  0  1.82297e-16
21.2875  0  1.77159e-16
21.3125  0  1.72171e-16
21.3375  0  1.67326e-16
21.3625  0  1.62621e-16
21.3875  0  1.58053e-16
21.4125  0  1.53615e-16
21.4375  0  1.49306e-16
21.4625  0  1.45121e-16
21.4875  0  1.41056e-16
21.5125  0  1.37109e-16
21.5375  0  1.33274e-16
21.5625  0  1.2955e-16
21.5875  0  1.25932e-16
21.6125  0  1.22418e-16
