Size(A)  Probability_real    Probability_expected
15.8125  0  2.22236e-15
15.8375  0  2.14122e-15
15.8625  0  2.06312e-15
15.8875  0  1.98795e-15
15.9125  0  1.91559e-15
15.9375  0  1.84593e-15
15.9625  0  1.77888e-15
15.9875  0  1.71432e-15
16.0125  0  1.65217e-15
16.0375  0  1.59233e-15
16.0625  0  1.53472e-15
16.0875  0  1.47925e-15
16.1125  0  1.42583e-15
16.1375  0  1.3744e-15
16.1625  0  1.32487e-15
16.1875  0  1.27717e-15
16.2125  0  1.23124e-15
16.2375  0  1.187e-15
16.2625  0  1.1444e-15
16.2875  0  1.10336e-15
16.3125  0  1.06384e-15
16.3375  0  1.02576e-15
16.3625  0  9.89091e-16
16.3875  0  9.53764e-16
16.4125  0  9.19732e-16
16.4375  0  8.86947e-16
16.4625  0  8.55361e-16
16.4875  0  8.2493e-16
16.5125  0  7.95611e-16
16.5375  0  7.67361e-16
16.5625  0  7.40141e-16
16.5875  0  7.13912e-16
16.6125  0  6.88637e-16
16.6375  0  6.64281e-16
16.6625  0  6.40809e-16
16.6875  0  6.18189e-16
16.7125  0  5.96388e-16
16.7375  0  5.75376e-16
16.7625  0  5.55124e-16
16.7875  0  5.35604e-16
16.8125  0  5.16789e-16
16.8375  0  4.98652e-16
16.8625  0  4.81168e-16
16.8875  0  4.64314e-16
16.9125  0  4.48065e-16
16.9375  0  4.324e-16
16.9625  0  4.17298e-16
16.9875  0  4.02737e-16
17.0125  0  3.88697e-16
17.0375  0  3.7516e-16
17.0625  0  3.62106e-16
17.0875  0  3.49519e-16
17.1125  0  3.37381e-16
17.1375  0  3.25676e-16
17.1625  0  3.14387e-16
17.1875  0  3.035e-16
17.2125  0  2.93e-16
17.2375  0  2.82873e-16
17.2625  0  2.73105e-16
17.2875  0  2.63684e-16
17.3125  0  2.54595e-16
17.3375  0  2.45829e-16
17.3625  0  2.37372e-16
17.3875  0  2.29214e-16
17.4125  0  2.21344e-16
17.4375  0  2.1375e-16
17.4625  0  2.06425e-16
17.4875  0  1.99357e-16
17.5125  0  1.92537e-16
17.5375  0  1.85957e-16
17.5625  0  1.79608e-16
17.5875  0  1.73481e-16
17.6125  0  1.67568e-16
17.6375  0  1.61863e-16
17.6625  0  1.56356e-16
17.6875  0  1.51042e-16
17.7125  0  1.45914e-16
17.7375  0  1.40964e-16
17.7625  0  1.36186e-16
17.7875  0  1.31575e-16
17.8125  0  1.27124e-16
17.8375  0  1.22827e-16
17.8625  0  1.1868e-16
17.8875  0  1.14676e-16
17.9125  0  1.1081e-16
17.9375  0  1.07079e-16
17.9625  0  1.03476e-16
17.9875  0  9.99982e-17
18.0125  0  9.664e-17
18.0375  0  9.33975e-17
18.0625  0  9.02667e-17
18.0875  0  8.72436e-17
18.1125  0  8.43243e-17
18.1375  0  8.15053e-17
18.1625  0  7.87831e-17
18.1875  0  7.61541e-17
18.2125  0  7.36151e-17
18.2375  0  7.1163e-17
18.2625  0  6.87948e-17
18.2875  0  6.65074e-17
18.3125  0  6.4298e-17
18.3375  0  6.2164e-17
18.3625  0  6.01026e-17
18.3875  0  5.81114e-17
18.4125  0  5.61879e-17
18.4375  0  5.43297e-17
18.4625  0  5.25346e-17
18.4875  0  5.08003e-17
18.5125  0  4.91248e-17
18.5375  0  4.7506e-17
18.5625  0  4.59419e-17
18.5875  0  4.44307e-17
18.6125  0  4.29705e-17
18.6375  0  4.15595e-17
18.6625  0  4.01961e-17
18.6875  0  3.88785e-17
18.7125  0  3.76053e-17
18.7375  0  3.63748e-17
18.7625  0  3.51857e-17
18.7875  0  3.40365e-17
18.8125  0  3.29257e-17
18.8375  0  3.18522e-17
18.8625  0  3.08146e-17
18.8875  0  2.98116e-17
18.9125  0  2.88422e-17
18.9375  0  2.79051e-17
18.9625  0  2.69992e-17
18.9875  0  2.61235e-17
19.0125  0  2.52769e-17
19.0375  0  2.44585e-17
19.0625  0  2.36673e-17
19.0875  0  2.29024e-17
19.1125  0  2.21628e-17
19.1375  0  2.14477e-17
19.1625  0  2.07563e-17
19.1875  0  2.00877e-17
19.2125  0  1.94413e-17
19.2375  0  1.88162e-17
19.2625  0  1.82117e-17
19.2875  0  1.76271e-17
19.3125  0  1.70618e-17
19.3375  0  1.65151e-17
19.3625  0  1.59864e-17
19.3875  0  1.5475e-17
19.4125  0  1.49804e-17
19.4375  0  1.4502e-17
19.4625  0  1.40393e-17
19.4875  0  1.35918e-17
19.5125  0  1.31589e-17
19.5375  0  1.27401e-17
19.5625  0  1.2335e-17
19.5875  0  1.19431e-17
19.6125  0  1.1564e-17
19.6375  0  1.11973e-17
19.6625  0  1.08424e-17
19.6875  0  1.04991e-17
19.7125  0  1.0167e-17
19.7375  0  9.84562e-18
19.7625  0  9.53467e-18
19.7875  0  9.2338e-18
19.8125  0  8.94267e-18
19.8375  0  8.66096e-18
19.8625  0  8.38835e-18
19.8875  0  8.12454e-18
19.9125  0  7.86924e-18
19.9375  0  7.62218e-18
19.9625  0  7.38307e-18
19.9875  0  7.15165e-18
20.0125  0  6.92768e-18
20.0375  0  6.7109e-18
20.0625  0  6.50108e-18
20.0875  0  6.29799e-18
20.1125  0  6.10141e-18
20.1375  0  5.91112e-18
20.1625  0  5.72692e-18
20.1875  0  5.54861e-18
20.2125  0  5.37599e-18
20.2375  0  5.20888e-18
20.2625  0  5.0471e-18
20.2875  0  4.89047e-18
20.3125  0  4.73883e-18
20.3375  0  4.59202e-18
20.3625  0  4.44987e-18
20.3875  0  4.31223e-18
20.4125  0  4.17896e-18
20.4375  0  4.04991e-18
20.4625  0  3.92495e-18
20.4875  0  3.80395e-18
20.5125  0  3.68677e-18
20.5375  0  3.5733e-18
20.5625  0  3.46341e-18
20.5875  0  3.35698e-18
20.6125  0  3.25391e-18
20.6375  0  3.15408e-18
20.6625  0  3.0574e-18
20.6875  0  2.96376e-18
20.7125  0  2.87305e-18
20.7375  0  2.7852e-18
20.7625  0  2.7001e-18
20.7875  0  2.61767e-18
20.8125  0  2.53782e-18
20.8375  0  2.46046e-18
20.8625  0  2.38553e-18
20.8875  0  2.31293e-18
20.9125  0  2.24261e-18
20.9375  0  2.17447e-18
20.9625  0  2.10846e-18
20.9875  0  2.0445e-18
21.0125  0  1.98254e-18
21.0375  0  1.9225e-18
21.0625  0  1.86432e-18
21.0875  0  1.80795e-18
21.1125  0  1.75333e-18
21.1375  0  1.7004e-18
21.1625  0  1.64911e-18
21.1875  0  1.59941e-18
21.2125  0  1.55124e-18
21.2375  0  1.50456e-18
21.2625  0  1.45932e-18
21.2875  0  1.41548e-18
21.3125  0  1.37298e-18
21.3375  0  1.3318e-18
21.3625  0  1.29188e-18
21.3875  0  1.25319e-18
21.4125  0  1.21569e-18
21.4375  0  1.17934e-18
21.4625  0  1.1441e-18
21.4875  0  1.10994e-18
21.5125  0  1.07683e-18
21.5375  0  1.04473e-18
21.5625  0  1.01362e-18
21.5875  0  9.83451e-19
21.6125  0  9.54205e-19
21.6375  0  9.25852e-19
21.6625  0  8.98362e-19
21.6875  0  8.71709e-19
21.7125  0  8.45867e-19
21.7375  0  8.20811e-19
21.7625  0  7.96516e-19
21.7875  0  7.72959e-19
21.8125  0  7.50116e-19
21.8375  0  7.27965e-19
21.8625  0  7.06485e-19
21.8875  0  6.85655e-19
21.9125  0  6.65455e-19
21.9375  0  6.45865e-19
21.9625  0  6.26866e-19
21.9875  0  6.08441e-19
22.0125  0  5.90571e-19
22.0375  0  5.73239e-19
22.0625  0  5.56429e-19
22.0875  0  5.40124e-19
22.1125  0  5.24309e-19
22.1375  0  5.08969e-19
22.1625  0  4.94089e-19
22.1875  0  4.79656e-19
22.2125  0  4.65654e-19
22.2375  0  4.52072e-19
22.2625  0  4.38896e-19
22.2875  0  4.26114e-19
22.3125  0  4.13713e-19
22.3375  0  4.01683e-19
22.3625  0  3.90011e-19
22.3875  0  3.78687e-19
22.4125  0  3.67701e-19
22.4375  0  3.57041e-19
22.4625  0  3.46697e-19
22.4875  0  3.36662e-19
22.5125  0  3.26924e-19
22.5375  0  3.17475e-19
22.5625  0  3.08305e-19
22.5875  0  2.99408e-19
22.6125  0  2.90774e-19
22.6375  0  2.82395e-19
22.6625  0  2.74263e-19
22.6875  0  2.66372e-19
22.7125  0  2.58713e-19
22.7375  0  2.51281e-19
22.7625  0  2.44067e-19
22.7875  0  2.37066e-19
22.8125  0  2.3027e-19
22.8375  0  2.23674e-19
22.8625  0  2.17272e-19
22.8875  0  2.11058e-19
22.9125  0  2.05026e-19
22.9375  0  1.99171e-19
22.9625  0  1.93487e-19
22.9875  0  1.8797e-19
23.0125  0  1.82613e-19
23.0375  0  1.77414e-19
